years	regions	num.phones
1951	N.Amer	45939
1956	N.Amer	60423
1957	N.Amer	64721
1958	N.Amer	68484
1959	N.Amer	71799
1960	N.Amer	76036
1961	N.Amer	79831
1951	Europe	21574
1956	Europe	29990
1957	Europe	32510
1958	Europe	35218
1959	Europe	37598
1960	Europe	40341
1961	Europe	43173
1951	Asia	2876
1956	Asia	4708
1957	Asia	5230
1958	Asia	6662
1959	Asia	6856
1960	Asia	8220
1961	Asia	9053
1951	S.Amer	1815
1956	S.Amer	2568
1957	S.Amer	2695
1958	S.Amer	2845
1959	S.Amer	3000
1960	S.Amer	3145
1961	S.Amer	3338
1951	Oceania	1646
1956	Oceania	2366
1957	Oceania	2526
1958	Oceania	2691
1959	Oceania	2868
1960	Oceania	3054
1961	Oceania	3224
1951	Africa	89
1956	Africa	1411
1957	Africa	1546
1958	Africa	1663
1959	Africa	1769
1960	Africa	1905
1961	Africa	2005
1951	Mid.Amer	555
1956	Mid.Amer	733
1957	Mid.Amer	773
1958	Mid.Amer	836
1959	Mid.Amer	911
1960	Mid.Amer	1008
1961	Mid.Amer	1076
